ZONING_ID,ZONING,ZONE_FILE,PD_USE,PD_DENSITY,DEV_AS_PD,COLOR_CODE,TOPOLOGY_VALIDATION
6186,A,,,0,,17,Yes
2696,A(PD),05027,Res,9.1,Yes,2,Yes
2697,CP,,,0,,5,Yes
2698,A(PD),89035,Com,0,,6,Yes
2699,CP,,,0,,5,Yes
5807,R-2,,,0,,2,Yes
6167,A,,,0,,17,Yes
2208,R-1-8(PD),70082,Res,22,Yes,2,Yes
2209,CP,,,0,,5,Yes
2211,A(PD),01030,Res,10.9,Yes,2,Yes
2212,A(PD),97053,Res,17.4,Yes,2,Yes
6168,R-M,,,0,,3,Yes
6567,A(PD),98078,Res,44,Yes,3,Yes
6568,A(PD),98078,OS,0,,17,Yes
3970,A(PD),85081,Com,0,,6,Yes
6574,CN,93040,,0,,6,Yes
5953,R-1-5(PD),71161,OS,0,,17,Yes
4855,R-1-5,,,0,,1,Yes
2647,R-1-8(PD),76189,Res,7.5,Yes,1,Yes
2648,R-1-5,,,0,,1,Yes
2666,A(PD),85087,Res,8.9,Yes,2,Yes
2668,R-1-8(PD),74072,Res,13.9,Yes,2,Yes
2768,R-M,,,0,,3,Yes
2702,A(PD),96006,Com,0,,6,Yes
5975,A(PD),80046,Com,0,Yes,6,Yes
2708,A(PD),87049,Com,0,,6,Yes
5159,R-1-8(PD),75035,Com,0,,6,Yes
6764,A(PD),88002,Res,8.5,Yes,2,Yes
7633,A(PD),88017,Com,0,,6,Yes
7643,A,,,0,,17,Yes
7644,R-M,,,0,,3,Yes
7645,A(PD),01002,Res,42,Yes,3,Yes
6988,A,,,0,,17,Yes
2250,R-2,,,0,,2,Yes
2251,CN,,,0,,6,Yes
2252,R-1-8,04107,,0,,1,Yes
2254,LI,,,0,,14,Yes
2256,CP,,,0,,5,Yes
2257,HI,,,0,,15,Yes
2288,R-2,,,0,,2,Yes
7833,R-1-8,,,0,,1,Yes
2616,A(PD),03063,Res,19,Yes,2,Yes
4843,CO,,,0,,4,Yes
2618,CO,,,0,,4,Yes
2619,R-M,79158,,0,,3,Yes
2620,A(PD),00089,Res,53,Yes,3,Yes
7829,R-1-8,76009,,0,,1,Yes
2769,R-2,,,0,,2,Yes
2770,A,78134,,0,,17,Yes
2686,A(PD),81018,Res,14.8,Yes,2,Yes
2687,CO,79157,,0,,4,Yes
2688,A(PD),04062,Res,13.2,Yes,2,Yes
2690,A(PD),90057,Res,7.4,Yes,1,Yes
2691,A(PD),83099,Res,7.1,Yes,1,Yes
2692,A(PD),90040,Res,7.1,Yes,1,Yes
6753,A(PD),02053,Res,25,Yes,2,Yes
5158,CP,66099,,0,,5,Yes
2732,A(PD),01087,Res,16,Yes,2,Yes
5841,R-2,,,0,,2,Yes
2828,CP,,,0,,5,Yes
2654,R-M,,,0,,3,Yes
4505,A(PD),98101,Mix,0,Yes,18,Yes
2417,A(PD),91010,Res,15.4,Yes,2,Yes
2418,R-1-2(PD),72078,Res,18.6,Yes,2,Yes
4543,LI,,,0,,14,Yes
2321,A(PD),95050,PQP,0,,16,Yes
2322,R-2,,,0,,2,Yes
2455,R-1-5,,,0,,1,Yes
4871,A(PD),90028,Res,12.5,Yes,2,Yes
2642,R-1-5,,,0,,1,Yes
4875,R-1-8,,,0,,1,Yes
6532,A(PD),03105,Res,7.4,Yes,1,Yes
3045,A(PD),00077,Ind,0,,13,Yes
2695,A(PD),85022,Res,24.9,Yes,2,Yes
2722,R-1-5,80029,,0,,1,Yes
2723,R-2,,,0,,2,Yes
2724,R-1-5,,,0,,1,Yes
2725,R-M,,,0,,3,Yes
2757,A(PD),00013,Res,25.9,Yes,3,Yes
4319,A,,,0,,17,Yes
2886,CP,,,0,,5,Yes
