STM_OTF_ID,COMPKEY,COMPTYPE,TYPE,PCD_TYPE,PCD_IN_DAT,PCD_MANUF,STATUS,FLAP_BRAND,AGENCY,OWNER,QTR_PANEL,WATERWAY,MAJ_W_SHED,LONG_NAD83,LAT_NAD83,DETAL_LINK,QUALTY_LEV,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
1024,,87,Concrete,,,,EXISTING,,,San Jose,142A,Greystone Creek,Guadalupe River,-121.85828,37.223527,,C2,0,DD-0268,,,,20110916122546,20110907171817,MRF:Can't locate the outfall from Google Earth or Orthophoto
1056,,87,Riprap,,,,EXISTING,,,San Jose,155A,Randol Creek,Guadalupe River,-121.843456,37.201896,,C2,0,TR8215,,,,20110916122546,20110907155620,
493,,87,Riprap,,,,EXISTING,Armco,,San Jose,144C,Fisher Creek,Coyote,-121.744921,37.208328,,C2,0,MGE,,,,20110916122546,20110902060503,
1060,,87,Riprap,,,,EXISTING,,,San Jose,102D,Yerba Buena Creek,Coyote,-121.732682,37.290821,,C2,0,EGN336,,19900902000000,,20110916122546,20110902060514,MRF:Can't locate the Outfall from Google Earth or Orthophoto
1061,,87,Concrete,,,,EXISTING,,,San Jose,102A,Evergreen Creek,Coyote,-121.754749,37.304555,,C2,0,3-6438,,19910502000000,,20110916122546,20110902060514,MRF:Can't locate the Outfall from Google Earth or Orthophoto
1062,,87,Concrete,,,,EXISTING,,,San Jose,102A,Evergreen Creek,Coyote,-121.754742,37.304522,,C2,0,3-6438,,19910502000000,,20110916122546,20110902060515,MRF:Can't locate the Outfall from Google Earth or Orthophoto
275,,87,Riprap,,,,EXISTING,,,Private,115A,Canoas Creek,Guadalupe River,-121.862234,37.281098,,C2,0,MGE,,,,20110916122546,20110902060400,
279,,87,Riprap,,,,EXISTING,,,San Jose,116A,Coyote Creek,Coyote,-121.798948,37.275146,,C2,0,MGE,,,,20110916122546,20110902060401,MRF:Can't locate the Outfall from Google Earth or Orthophoto
281,,87,Riprap,,,,EXISTING,,,San Jose,116B,Thompson Creek,Coyote,-121.760829,37.283746,,C2,0,MGE,,,,20110916122546,20110907165747,MRF:Can't locate the Outfall from Google Earth or Orthophoto
285,,87,Riprap,,,,EXISTING,Waterman,,San Jose,116C,Coyote Creek,Coyote,-121.795828,37.265315,,C2,0,MGE,,,,20110916122546,20110902060402,MRF:Can't locate the Outfall from Google Earth or Orthophoto
288,,87,Riprap,,,,EXISTING,,,San Jose,115C,Canoas Creek,Guadalupe River,-121.858435,37.271781,,C2,0,MGE,,,,20110916122546,20110908103056,MRF:Can't locate the Outfall from Google Earth or Orthophoto
289,,87,Riprap,,,,EXISTING,,,San Jose,115C,Canoas Creek,Guadalupe River,-121.858633,37.272115,,C2,0,MGE,,,,20110916122546,20110908102717,MRF:Can't locate the Outfall from Google Earth or Orthophoto
290,,87,Riprap,,,,EXISTING,,,San Jose,116A,Coyote Creek,Coyote,-121.797103,37.274639,,C2,0,MGE,,,,20110916122546,20110902060405,
291,,87,Riprap,,,,EXISTING,,,San Jose,116C,Coyote Creek,Coyote,-121.796846,37.273999,,C2,0,MGE,,,,20110916122546,20110907180615,MRF:Can't locate the Outfall from Google Earth or Orthophoto
292,,87,Riprap,,,,EXISTING,,,San Jose,116A,Coyote Creek,Coyote,-121.806876,37.281155,,C2,0,MGE,,,,20110916122546,20110902060406,
293,,87,Riprap,,,,EXISTING,,,San Jose,116A,Coyote Creek,Coyote,-121.799982,37.277012,,C2,0,MGE,,,,20110916122546,20110902060407,
294,,87,Riprap,,,,EXISTING,Waterman,,San Jose,116C,Coyote Creek,Coyote,-121.797573,37.270211,,C2,0,MGE,,,,20110916122546,20110902060407,MRF:Can't locate the Outfall from Google Earth or Orthophoto
295,,87,Pipe,,,,EXISTING,,,San Jose,115C,Canoas Creek,Guadalupe River,-121.857349,37.270504,,C2,0,MGE,,,,20110916122546,20110902060408,MRF:Can't locate the Outfall from Google Earth or Orthophoto
