GP_DESIGN,GP_ABBR,GP_CODE,ACRES,PLAN_COMM,COLOR_RGB,LABEL_ORDER,PID
Residential Neighborhood,RN,,0.97,,"255, 255, 133",17,8206
Residential Neighborhood,RN,,3.19,,"255, 255, 133",17,3143
Residential Neighborhood,RN,,3.18,,"255, 255, 133",17,3144
Residential Neighborhood,RN,,3.18,,"255, 255, 133",17,3145
Residential Neighborhood,RN,,3.18,,"255, 255, 133",17,3146
Residential Neighborhood,RN,,3.18,,"255, 255, 133",17,3147
Residential Neighborhood,RN,,3.18,,"255, 255, 133",17,3148
Residential Neighborhood,RN,,3.18,,"255, 255, 133",17,3149
Residential Neighborhood,RN,,3.18,,"255, 255, 133",17,3150
Residential Neighborhood,RN,,3.17,,"255, 255, 133",17,3151
Light Industrial,LI,,0.89,,"207, 224, 217",10,3294
Urban Residential,UR,,0.29,,"160, 120, 0",15,3313
Urban Residential,UR,,0.23,,"160, 120, 0",15,3314
Urban Residential,UR,,0.23,,"160, 120, 0",15,3315
Urban Residential,UR,,0.18,,"160, 120, 0",15,3316
Combined Industrial/Commercial,CIC,,115.23,,"212, 97, 252",8,3317
Heavy Industrial,HI,,1.67,,"122, 158, 150",11,3319
Urban Residential,UR,,26.5,,"160, 120, 0",15,2997
Urban Residential,UR,,12.24,,"160, 120, 0",15,2998
Urban Residential,UR,,7.83,,"160, 120, 0",15,2999
Light Industrial,LI,,25.26,,"207, 224, 217",10,3002
Residential Neighborhood,RN,,4.78,,"255, 255, 133",17,3084
Residential Neighborhood,RN,,4.77,,"255, 255, 133",17,3085
Residential Neighborhood,RN,,4.77,,"255, 255, 133",17,3086
Residential Neighborhood,RN,,4.77,,"255, 255, 133",17,3087
Residential Neighborhood,RN,,4.77,,"255, 255, 133",17,3088
Residential Neighborhood,RN,,4.77,,"255, 255, 133",17,3089
Residential Neighborhood,RN,,4.76,,"255, 255, 133",17,3090
Residential Neighborhood,RN,,3.17,,"255, 255, 133",17,3152
Residential Neighborhood,RN,,3.1,,"255, 255, 133",17,3153
Residential Neighborhood,RN,,3.09,,"255, 255, 133",17,3154
Residential Neighborhood,RN,,3.01,,"255, 255, 133",17,3155
Residential Neighborhood,RN,,2.98,,"255, 255, 133",17,3156
Residential Neighborhood,RN,,2.92,,"255, 255, 133",17,3157
Residential Neighborhood,RN,,2.91,,"255, 255, 133",17,3158
Residential Neighborhood,RN,,0.71,,"255, 255, 133",17,8209
Residential Neighborhood,RN,,5.99,,"255, 255, 133",17,3345
Residential Neighborhood,RN,,3.91,,"255, 255, 133",17,3346
Residential Neighborhood,RN,,3.57,,"255, 255, 133",17,3347
Residential Neighborhood,RN,,3.53,,"255, 255, 133",17,3348
Residential Neighborhood,RN,,3.33,,"255, 255, 133",17,3349
Residential Neighborhood,RN,,3.28,,"255, 255, 133",17,3350
Residential Neighborhood,RN,,2.93,,"255, 255, 133",17,3351
Light Industrial,LI,,23.13,,"207, 224, 217",10,3003
Light Industrial,LI,,15.85,,"207, 224, 217",10,3004
Light Industrial,LI,,14.52,,"207, 224, 217",10,3005
Urban Village,UV,,1.84,Urban Village,"255, 113, 65",3,10076
Urban Village,UV,,1.36,Urban Village,"255, 113, 65",3,10077
Residential Neighborhood,RN,,4.76,,"255, 255, 133",17,3091
Residential Neighborhood,RN,,4.76,,"255, 255, 133",17,3092
Residential Neighborhood,RN,,4.76,,"255, 255, 133",17,3093
Residential Neighborhood,RN,,4.76,,"255, 255, 133",17,3094
Residential Neighborhood,RN,,4.76,,"255, 255, 133",17,3095
Residential Neighborhood,RN,,4.76,,"255, 255, 133",17,3096
Residential Neighborhood,RN,,4.75,,"255, 255, 133",17,3097
Residential Neighborhood,RN,,2.87,,"255, 255, 133",17,3159
Residential Neighborhood,RN,,2.8,,"255, 255, 133",17,3160
Residential Neighborhood,RN,,2.78,,"255, 255, 133",17,3162
Residential Neighborhood,RN,,2.7,,"255, 255, 133",17,3163
Residential Neighborhood,RN,,2.67,,"255, 255, 133",17,3164
Residential Neighborhood,RN,,2.78,,"255, 255, 133",17,5080
Light Industrial,LI,,4.08,,"207, 224, 217",10,3269
Light Industrial,LI,,3.61,,"207, 224, 217",10,3270
Light Industrial,LI,,1.08,,"207, 224, 217",10,3271
Light Industrial,LI,,0.67,,"207, 224, 217",10,3272
Light Industrial,LI,,0.49,,"207, 224, 217",10,3273
Light Industrial,LI,,12.82,,"207, 224, 217",10,3274
Light Industrial,LI,,7.31,,"207, 224, 217",10,3275
Light Industrial,LI,,14.32,,"207, 224, 217",10,3006
Light Industrial,LI,,43.77,,"207, 224, 217",10,3007
Residential Neighborhood,RN,,1.75,,"255, 255, 133",17,8200
Residential Neighborhood,RN,,4.75,,"255, 255, 133",17,3098
Residential Neighborhood,RN,,4.75,,"255, 255, 133",17,3099
Residential Neighborhood,RN,,4.75,,"255, 255, 133",17,3100
Residential Neighborhood,RN,,4.75,,"255, 255, 133",17,3101
Residential Neighborhood,RN,,4.75,,"255, 255, 133",17,3102
Residential Neighborhood,RN,,4.73,,"255, 255, 133",17,3103
Residential Neighborhood,RN,,2.62,,"255, 255, 133",17,3165
Residential Neighborhood,RN,,2.62,,"255, 255, 133",17,3166
Residential Neighborhood,RN,,2.56,,"255, 255, 133",17,3167
Residential Neighborhood,RN,,2.55,,"255, 255, 133",17,3168
Residential Neighborhood,RN,,2.5,,"255, 255, 133",17,3169
Residential Neighborhood,RN,,2.45,,"255, 255, 133",17,3170
Residential Neighborhood,RN,,2.39,,"255, 255, 133",17,3171
Combined Industrial/Commercial,CIC,,21.49,,"212, 97, 252",8,3318
Heavy Industrial,HI,,1.43,,"122, 158, 150",11,3320
Heavy Industrial,HI,,1.42,,"122, 158, 150",11,3321
Residential Neighborhood,RN,,1.13,,"255, 255, 133",17,3325
Residential Neighborhood,RN,,0.9,,"255, 255, 133",17,3326
Residential Neighborhood,RN,,0.47,,"255, 255, 133",17,3327
Light Industrial,LI,,2.07,,"207, 224, 217",10,3328
Combined Industrial/Commercial,CIC,,19.01,,"212, 97, 252",8,3008
Combined Industrial/Commercial,CIC,,7.81,,"212, 97, 252",8,3009
Residential Neighborhood,RN,,4.73,,"255, 255, 133",17,3104
Residential Neighborhood,RN,,4.73,,"255, 255, 133",17,3105
Residential Neighborhood,RN,,4.71,,"255, 255, 133",17,3106
Residential Neighborhood,RN,,4.71,,"255, 255, 133",17,3107
Residential Neighborhood,RN,,4.71,,"255, 255, 133",17,3108
Residential Neighborhood,RN,,2.38,,"255, 255, 133",17,3172
Residential Neighborhood,RN,,2.38,,"255, 255, 133",17,3173
Residential Neighborhood,RN,,2.37,,"255, 255, 133",17,3174
Residential Neighborhood,RN,,2.31,,"255, 255, 133",17,3175
Residential Neighborhood,RN,,2.27,,"255, 255, 133",17,3176
Residential Neighborhood,RN,,2.25,,"255, 255, 133",17,3177
Residential Neighborhood,RN,,2.24,,"255, 255, 133",17,3178
Residential Neighborhood,RN,,2.23,,"255, 255, 133",17,3179
Residential Neighborhood,RN,,2.23,,"255, 255, 133",17,3180
Light Industrial,LI,,0.4,,"207, 224, 217",10,3295
Mixed Use Neighborhood,MUN,,2.26,,"207, 161, 22",16,3296
Combined Industrial/Commercial,CIC,,13.33,,"212, 97, 252",8,11693
Mixed Use Neighborhood,MUN,,1.94,,"207, 161, 22",16,3299
Mixed Use Neighborhood,MUN,,1.81,,"207, 161, 22",16,3300
Combined Industrial/Commercial,CIC,,0.63,,"212, 97, 252",8,3010
Urban Village,UV,,0.88,Urban Village,"255, 113, 65",3,10078
Industrial Park,IP,,31.94,,"138, 194, 230",9,3017
Urban Village,UV,,0.82,Urban Village,"255, 113, 65",3,10079
Urban Village,UV,,0.82,Urban Village,"255, 113, 65",3,10080
Urban Village,UV,,0.77,Urban Village,"255, 113, 65",3,10081
Urban Village,UV,,0.75,Urban Village,"255, 113, 65",3,10082
Industrial Park,IP,,15.21,,"138, 194, 230",9,2953
Industrial Park,IP,,7.68,,"138, 194, 230",9,2954
Industrial Park,IP,,7.38,,"138, 194, 230",9,2955
Industrial Park,IP,,5.98,,"138, 194, 230",9,2956
Industrial Park,IP,,5.31,,"138, 194, 230",9,2957
Residential Neighborhood,RN,,2.23,,"255, 255, 133",17,3181
Residential Neighborhood,RN,,2.23,,"255, 255, 133",17,3182
Residential Neighborhood,RN,,2.22,,"255, 255, 133",17,3183
Residential Neighborhood,RN,,2.2,,"255, 255, 133",17,3184
Residential Neighborhood,RN,,2.19,,"255, 255, 133",17,3185
Residential Neighborhood,RN,,2.17,,"255, 255, 133",17,3186
Residential Neighborhood,RN,,2.13,,"255, 255, 133",17,3187
Mixed Use Commercial,MUC,,0.75,,"255, 177, 96",6,8210
Light Industrial,LI,,3.8,,"207, 224, 217",10,3276
Light Industrial,LI,,3.78,,"207, 224, 217",10,3277
Light Industrial,LI,,3.68,,"207, 224, 217",10,3278
Light Industrial,LI,,3.67,,"207, 224, 217",10,3279
Light Industrial,LI,,3.66,,"207, 224, 217",10,3280
Light Industrial,LI,,3.63,,"207, 224, 217",10,3281
Light Industrial,LI,,3.45,,"207, 224, 217",10,3282
Industrial Park,IP,,30.15,,"138, 194, 230",9,3018
Combined Industrial/Commercial,CIC,,8.83,,"212, 97, 252",8,3020
Urban Village,UV,,0.61,Urban Village,"255, 113, 65",3,10083
Urban Village,UV,,0.6,Urban Village,"255, 113, 65",3,10084
Urban Village,UV,,0.4,Urban Village,"255, 113, 65",3,10085
Combined Industrial/Commercial,CIC,,57.35,Alviso Specific Plan Area,"212, 97, 252",8,11527
Residential Neighborhood,RN,,2.22,,"255, 255, 133",17,3494
Residential Neighborhood,RN,,3.54,,"255, 255, 133",17,3666
Residential Neighborhood,RN,,14.51,Alviso Specific Plan Area,"255, 255, 133",17,11526
Residential Neighborhood,RN,,2.05,,"255, 255, 133",17,3188
Residential Neighborhood,RN,,1.95,,"255, 255, 133",17,3189
Residential Neighborhood,RN,,1.92,,"255, 255, 133",17,3190
Residential Neighborhood,RN,,1.86,,"255, 255, 133",17,3191
Residential Neighborhood,RN,,1.84,,"255, 255, 133",17,3192
Light Industrial,LI,,1.64,,"207, 224, 217",10,3329
Light Industrial,LI,,0.97,,"207, 224, 217",10,3330
Residential Neighborhood,RN,,5.02,,"255, 255, 133",17,3331
Residential Neighborhood,RN,,2.31,,"255, 255, 133",17,3332
Residential Neighborhood,RN,,1.35,,"255, 255, 133",17,3333
Residential Neighborhood,RN,,1.26,,"255, 255, 133",17,3334
Residential Neighborhood,RN,,1.24,,"255, 255, 133",17,3335
Light Industrial,LI,,12.49,,"207, 224, 217",10,3024
Light Industrial,LI,,4.35,,"207, 224, 217",10,3025
"Open Space, Parklands and Habitat",OSPH,,5.34,,"96, 160, 0",22,11692
Mixed Use Commercial,MUC,,0.75,Urban Village,"255, 177, 96",6,10088
Mixed Use Commercial,MUC,,0.25,Urban Village,"255, 177, 96",6,10090
Combined Industrial/Commercial,CIC,,76.88,Alviso Specific Plan Area,"212, 97, 252",8,2963
Combined Industrial/Commercial,CIC,,76.19,Alviso Specific Plan Area,"212, 97, 252",8,11490
Combined Industrial/Commercial,CIC,,68.88,Alviso Specific Plan Area,"212, 97, 252",8,2964
Residential Neighborhood,RN,,1.8,,"255, 255, 133",17,3193
Residential Neighborhood,RN,,1.71,,"255, 255, 133",17,3194
Residential Neighborhood,RN,,1.63,,"255, 255, 133",17,3195
Residential Neighborhood,RN,,1.59,,"255, 255, 133",17,3196
Residential Neighborhood,RN,,1.59,,"255, 255, 133",17,3197
Residential Neighborhood,RN,,1.52,,"255, 255, 133",17,3198
Residential Neighborhood,RN,,1.22,,"255, 255, 133",17,3199
Residential Neighborhood,RN,,1.21,,"255, 255, 133",17,3200
Residential Neighborhood,RN,,1.19,,"255, 255, 133",17,3201
Mixed Use Neighborhood,MUN,,1.32,,"207, 161, 22",16,3302
Mixed Use Neighborhood,MUN,,0.95,,"207, 161, 22",16,3303
Mixed Use Neighborhood,MUN,,0.75,,"207, 161, 22",16,3304
Mixed Use Neighborhood,MUN,,0.37,,"207, 161, 22",16,3305
Urban Residential,UR,,1.02,,"160, 120, 0",15,3306
Urban Residential,UR,,0.99,,"160, 120, 0",15,3307
Urban Residential,UR,,0.73,,"160, 120, 0",15,3308
"Open Space, Parklands and Habitat",OSPH,,11.02,,"96, 160, 0",22,3029
Light Industrial,LI,,36.25,,"207, 224, 217",10,3030
Combined Industrial/Commercial,CIC,,3.26,,"212, 97, 252",8,3031
Combined Industrial/Commercial,CIC,,2.57,,"212, 97, 252",8,3032
Residential Neighborhood,RN,,1.75,,"255, 255, 133",17,8201
Combined Industrial/Commercial,CIC,,38.01,Alviso Specific Plan Area,"212, 97, 252",8,2965
Combined Industrial/Commercial,CIC,,10.25,Alviso Specific Plan Area,"212, 97, 252",8,2966
Transit Residential,TR,,5.49,Urban Village,"100, 64, 0",14,2967
Transit Residential,TR,,3.74,Urban Village,"100, 64, 0",14,2968
Transit Residential,TR,,2.28,Urban Village,"100, 64, 0",14,2969
Residential Neighborhood,RN,,1.16,,"255, 255, 133",17,3202
Residential Neighborhood,RN,,1.11,,"255, 255, 133",17,3203
Residential Neighborhood,RN,,1.11,,"255, 255, 133",17,3204
Residential Neighborhood,RN,,0.87,,"255, 255, 133",17,3205
Residential Neighborhood,RN,,0.87,,"255, 255, 133",17,3206
Residential Neighborhood,RN,,0.73,,"255, 255, 133",17,3207
Residential Neighborhood,RN,,0.44,,"255, 255, 133",17,3208
Residential Neighborhood,RN,,0.38,,"255, 255, 133",17,3209
Residential Neighborhood,RN,,0.37,,"255, 255, 133",17,3210
Residential Neighborhood,RN,,0.22,,"255, 255, 133",17,3211
Transit Residential,TR,,5.28,Jackson-Taylor Specific Plan,"100, 64, 0",14,3217
